,file,n,m,fpr,fnr,mer,time,is_ptree,ad_score,dl_score,fraction_diffs
0,fp_01/simNo_10-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.1-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.1,0.05,0.05,70.0155303680076,1.0,0.3849422055607623,0.9508219406144393,0.01626
1,fp_01/simNo_5-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.1-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.1,0.05,0.05,73.86882450000849,1.0,0.5248661819924902,0.9518413087750487,0.032071
2,fp_01/simNo_1-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.1-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.1,0.05,0.05,63.77147565499763,1.0,0.4662176074359502,0.9575055870835749,0.012832
3,fp_01/simNo_6-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.1-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.1,0.05,0.05,71.30920465099916,1.0,0.1657544659825162,0.9576829283917505,0.034267
4,fp_01/simNo_2-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.1-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.1,0.05,0.05,76.87230887899932,1.0,0.0,0.9637218105070653,0.03360960960960961
5,fp_01/simNo_7-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.1-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.1,0.05,0.05,75.64090904299519,1.0,0.0003271180896303738,0.9616918128830283,0.033347
6,fp_01/simNo_3-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.1-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.1,0.05,0.05,72.03096145100426,1.0,0.24173913043478257,0.9617828167211867,0.024895
7,fp_01/simNo_8-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.1-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.1,0.05,0.05,70.98446600401076,1.0,0.18805161701449735,0.9510958519574183,0.041145
8,fp_01/simNo_4-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.1-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.1,0.05,0.05,70.24437334299728,1.0,0.45309998702029164,0.962573156936999,0.02696996996996997
9,fp_01/simNo_9-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.1-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.1,0.05,0.05,73.20186384899716,1.0,0.25776915172964954,0.9608757096616032,0.045441
10,fp_01/simNo_10-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.1-fn_0.2-na_0.05-d_0-l_1000000,1000,1000,0.1,0.2,0.05,67.33663239999441,1.0,0.396157450796626,0.9712174839946984,0.014966
11,fp_01/simNo_5-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.1-fn_0.2-na_0.05-d_0-l_1000000,1000,1000,0.1,0.2,0.05,73.09995204700681,1.0,0.5849644483502436,0.9511504663748777,0.038662
12,fp_01/simNo_1-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.1-fn_0.2-na_0.05-d_0-l_1000000,1000,1000,0.1,0.2,0.05,71.02478921700094,1.0,0.22757890402094305,0.9613693078531916,0.031838
13,fp_01/simNo_6-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.1-fn_0.2-na_0.05-d_0-l_1000000,1000,1000,0.1,0.2,0.05,71.41895686999487,1.0,0.19662280368144824,0.9579698583841555,0.03512024048096193
14,fp_01/simNo_2-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.1-fn_0.2-na_0.05-d_0-l_1000000,1000,1000,0.1,0.2,0.05,73.70518862499739,1.0,0.0,0.9641199552640124,0.03483
15,fp_01/simNo_7-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.1-fn_0.2-na_0.05-d_0-l_1000000,1000,1000,0.1,0.2,0.05,71.71946160501102,1.0,0.006469668883800406,0.963141485475437,0.038914
16,fp_01/simNo_3-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.1-fn_0.2-na_0.05-d_0-l_1000000,1000,1000,0.1,0.2,0.05,72.48547381599201,1.0,0.0002484472049689712,0.9635746457258608,0.034767
17,fp_01/simNo_4-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.1-fn_0.2-na_0.05-d_0-l_1000000,1000,1000,0.1,0.2,0.05,71.2713164720044,1.0,0.41692986630900364,0.9614062227547695,0.03879479479479479
18,fp_01/simNo_9-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.1-fn_0.2-na_0.05-d_0-l_1000000,1000,1000,0.1,0.2,0.05,73.73221498499333,1.0,0.5450393880579976,0.9387123039071045,0.044969
