,file,n,m,fpr,fnr,mer,time,is_ptree,ad_score,dl_score,fraction_diffs
0,fp_01/simNo_1-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.1-fn_0.1-na_0.05-d_0-l_1000000,300,300,0.1,0.1,0.05,190.62956515099995,1.0,1.0,1.0,0.0030666666666666668
1,fp_01/simNo_1-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.1-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.1,0.2,0.05,542.1964914109994,1.0,1.0,1.0,0.004877777777777778
2,fp_01/simNo_1-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.1-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.1,0.05,0.05,215.67087974900005,1.0,1.0,1.0,0.0024666666666666665
3,fp_01/simNo_2-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.1-fn_0.1-na_0.05-d_0-l_1000000,300,300,0.1,0.1,0.05,108.24016243000005,1.0,1.0,1.0,0.003311111111111111
4,fp_01/simNo_2-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.1-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.1,0.2,0.05,287.1411707420002,1.0,0.996698798362604,1.0,0.005555555555555556
5,fp_01/simNo_2-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.1-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.1,0.05,0.05,158.4611801860001,1.0,1.0,1.0,0.0024666666666666665
6,fp_01/simNo_3-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.1-fn_0.1-na_0.05-d_0-l_1000000,300,300,0.1,0.1,0.05,173.06576839399986,1.0,1.0,1.0,0.003011111111111111
7,fp_01/simNo_3-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.1-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.1,0.2,0.05,327.8477000789999,1.0,1.0,1.0,0.004522222222222223
8,fp_01/simNo_3-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.1-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.1,0.05,0.05,255.09345533299893,1.0,1.0,1.0,0.0027
9,fp_01/simNo_4-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.1-fn_0.1-na_0.05-d_0-l_1000000,300,300,0.1,0.1,0.05,143.97037467500013,1.0,1.0,1.0,0.0029111111111111113
10,fp_01/simNo_4-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.1-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.1,0.2,0.05,256.1805052559994,1.0,1.0,1.0,0.004644444444444444
11,fp_01/simNo_4-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.1-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.1,0.05,0.05,128.62264578100076,1.0,1.0,1.0,0.002288888888888889
12,fp_01/simNo_5-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.1-fn_0.1-na_0.05-d_0-l_1000000,300,300,0.1,0.1,0.05,134.44601777999924,1.0,1.0,1.0,0.0025444444444444447
13,fp_01/simNo_5-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.1-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.1,0.2,0.05,365.48697631399955,1.0,1.0,1.0,0.0054
