,file,n,m,fpr,fnr,mer,time,is_ptree,ad_score,dl_score,fraction_diffs
0,fp_003/simNo_10-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.03,0.05,0.05,65.56653814500896,1.0,0.8027069234773555,0.9852514079349446,0.0029310344827586207
1,fp_003/simNo_5-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.03,0.05,0.05,57.19013771801838,1.0,0.9395424836601307,0.9919484310386767,0.0023411371237458192
2,fp_003/simNo_1-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.03,0.05,0.05,76.58773971599294,1.0,0.8256691832532601,0.979662120020609,0.003626760563380282
3,fp_003/simNo_6-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.03,0.05,0.05,56.19638176099397,1.0,0.8882122662026968,0.9900892969437807,0.002465753424657534
4,fp_003/simNo_2-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.03,0.05,0.05,99.45057777300826,1.0,0.8887480190174326,0.9847348885228977,0.0032885906040268456
5,fp_003/simNo_7-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.03,0.05,0.05,68.29836109597818,1.0,0.8693312836279785,0.9873899908052016,0.003426248548199768
6,fp_003/simNo_3-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.03,0.05,0.05,70.67971809799201,1.0,0.7718148299877099,0.9862000102411798,0.0030344827586206895
7,fp_003/simNo_8-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.03,0.05,0.05,78.96883964497829,1.0,0.9124668435013262,0.9924430719791117,0.0026598173515981734
8,fp_003/simNo_4-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.03,0.05,0.05,81.5347669099865,1.0,0.9116945107398569,0.9932980862312905,0.0025369738339021614
9,fp_003/simNo_9-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.03,0.05,0.05,71.89264741601073,1.0,0.9101278949187694,0.9916618818184088,0.002824858757062147
10,fp_003/simNo_10-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,146.01533745598863,1.0,0.7111231101511879,0.9826756496631376,0.007659574468085106
11,fp_003/simNo_5-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,160.68846805600333,1.0,0.9112008072653885,0.9865101300808885,0.005563139931740614
12,fp_003/simNo_1-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,161.3367793750076,1.0,0.8087663485330505,0.983507665061708,0.006595492289442467
13,fp_003/simNo_6-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,146.50202837598044,1.0,0.8173034694773825,0.9821650445226755,0.006273148148148148
14,fp_003/simNo_2-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,123.9818322249921,1.0,0.8841935483870967,0.9844279117496152,0.006278538812785388
15,fp_003/simNo_7-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,114.71294038600172,1.0,0.7923561859732072,0.9826309484917782,0.007304964539007092
16,fp_003/simNo_3-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,131.99506775202462,1.0,0.7479949345715492,0.9842601448285285,0.009347568208778172
17,fp_003/simNo_8-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,124.0094802879903,1.0,0.7951482479784366,0.9823594266813671,0.008050749711649366
18,fp_003/simNo_4-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,124.49705375701888,1.0,0.7995098039215687,0.987764125237777,0.007534722222222222
19,fp_003/simNo_9-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,180.31799267599126,1.0,0.8427046263345196,0.9852173463586086,0.006632183908045977
