,file,n,m,fpr,fnr,mer,time,is_ptree,ad_score,dl_score,fraction_diffs
0,simNo_10-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.001,0.05,0.05,3.3579617210052675,1.0,0.9469026548672567,0.9986615147612193,0.0010459770114942528
1,simNo_5-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.001,0.05,0.05,3.257625693004229,1.0,0.9398692810457516,0.9998540501094624,0.0009141583054626533
2,simNo_1-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.001,0.05,0.05,3.134554680000292,1.0,0.9698009608785175,0.9999186484800824,0.001068075117370892
3,simNo_6-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.001,0.05,0.05,4.090276927003288,1.0,0.980426272292301,0.9975852094076216,0.0009018264840182648
4,simNo_2-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.001,0.05,0.05,4.136351752007613,1.0,0.9496038034865293,0.9979105725031341,0.0011409395973154361
5,simNo_7-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.001,0.05,0.05,3.45631018000131,1.0,0.9558032282859339,0.9972941021936161,0.0008013937282229965
6,simNo_3-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.001,0.05,0.05,3.4655409160041017,1.0,0.891028267103646,0.9978493522453786,0.0016666666666666668
7,simNo_8-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.001,0.05,0.05,3.4872268449980766,1.0,0.9641909814323607,0.9987698024152042,0.0010388127853881279
8,simNo_4-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.001,0.05,0.05,3.5555629070004215,1.0,0.964200477326969,0.999652493360141,0.0008418657565415244
9,simNo_9-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.001,0.05,0.05,4.191199887995026,1.0,0.9567922571724853,0.9971540554709539,0.0012542372881355931
10,simNo_10-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.001,0.2,0.05,3.404205400001956,1.0,0.8304535637149029,0.9955887070901508,0.004491725768321513
11,simNo_5-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.001,0.2,0.05,3.5274388340039877,1.0,0.93104608139926,0.9980221619291528,0.0027872582480091015
12,simNo_1-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.001,0.2,0.05,3.29662987300253,1.0,0.8967833156592435,0.9977032486579224,0.0036654804270462634
13,simNo_6-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.001,0.2,0.05,3.496353098002146,1.0,0.8405797101449275,0.9961948643611513,0.004594907407407408
14,simNo_2-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.001,0.2,0.05,3.533419371000491,1.0,0.9090322580645162,0.9944586967675731,0.003732876712328767
15,simNo_7-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.001,0.2,0.05,3.5563282200018875,1.0,0.8522458628841607,0.9977131656321464,0.004349881796690307
16,simNo_3-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.001,0.2,0.05,4.388974971006974,1.0,0.8725200506542845,0.9960923623445825,0.004567022538552788
17,simNo_8-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.001,0.2,0.05,4.400800689996686,1.0,0.8593890386343217,0.9983846568036717,0.003217993079584775
18,simNo_4-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.001,0.2,0.05,4.28029152599629,1.0,0.925,0.9973523212174181,0.0021759259259259258
19,simNo_9-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.001,0.2,0.05,4.123131030006334,1.0,0.9117437722419929,0.9995606553987698,0.0032643678160919542
