,file,n,m,fpr,fnr,mer,time,is_ptree,ad_score,dl_score,fraction_diffs
0,fp_001/simNo_10-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.01,0.05,0.05,52.54559329499898,1.0,0.9959387691346454,0.9987654134135346,0.000243
1,fp_001/simNo_5-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.01,0.05,0.05,54.2285443310102,1.0,0.993608692178637,0.9937104087671726,0.001278
2,fp_001/simNo_1-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.01,0.05,0.05,53.50660929399601,1.0,0.9929993822984381,0.9987881078193108,0.000332
3,fp_001/simNo_6-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.01,0.05,0.05,52.76039371799561,1.0,0.9935005701254276,0.9983194461646216,0.000316
4,fp_001/simNo_2-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.01,0.05,0.05,53.730338048000704,1.0,0.9931934691767544,0.9997129217126878,0.0003073073073073073
5,fp_001/simNo_7-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.01,0.05,0.05,51.70330100800493,1.0,0.9985824882782685,0.9998329771606974,0.000331
6,fp_001/simNo_3-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.01,0.05,0.05,51.373490469995886,1.0,0.9973084886128364,0.9999489870746,0.000269
7,fp_001/simNo_8-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.01,0.05,0.05,51.642618331999984,1.0,0.995730444479847,0.9993608429962644,0.000376
8,fp_001/simNo_4-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.01,0.05,0.05,52.724920541004394,1.0,0.9832778090252239,0.995759244935461,0.0011841841841841842
9,fp_001/simNo_9-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.05-na_0.05-d_0-l_1000000,1000,1000,0.01,0.05,0.05,52.30562055199698,1.0,0.9876926589793356,0.9963682186966852,0.001189
10,fp_001/simNo_10-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.2-na_0.05-d_0-l_1000000,1000,1000,0.01,0.2,0.05,54.6022756859893,1.0,0.9908153701968135,0.9976735286041388,0.001188
11,fp_001/simNo_5-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.2-na_0.05-d_0-l_1000000,1000,1000,0.01,0.2,0.05,53.91288994500064,1.0,0.9900535272030039,0.9926527673076274,0.002131
12,fp_001/simNo_1-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.2-na_0.05-d_0-l_1000000,1000,1000,0.01,0.2,0.05,54.625566160990275,1.0,0.9760567108862547,0.9970202220933592,0.000815
13,fp_001/simNo_6-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.2-na_0.05-d_0-l_1000000,1000,1000,0.01,0.2,0.05,53.66233808200923,1.0,0.9669886666159581,0.9964467375174768,0.001092184368737475
14,fp_001/simNo_2-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.2-na_0.05-d_0-l_1000000,1000,1000,0.01,0.2,0.05,53.82900251900719,1.0,0.9700670910029244,0.9990089323421242,0.000755
15,fp_001/simNo_7-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.2-na_0.05-d_0-l_1000000,1000,1000,0.01,0.2,0.05,53.53714892499556,1.0,0.9942209137498637,0.9994047134701779,0.000714
16,fp_001/simNo_3-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.2-na_0.05-d_0-l_1000000,1000,1000,0.01,0.2,0.05,53.52343052199285,1.0,0.991055900621118,0.9994579876676253,0.000674
17,fp_001/simNo_8-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.2-na_0.05-d_0-l_1000000,1000,1000,0.01,0.2,0.05,52.9172544979956,1.0,0.9899952206468058,0.9991794606033124,0.000874
18,fp_001/simNo_4-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.2-na_0.05-d_0-l_1000000,1000,1000,0.01,0.2,0.05,55.185854898998514,1.0,0.9837537316661619,0.995640763112361,0.0012772772772772774
19,fp_001/simNo_9-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_1000-fp_0.01-fn_0.2-na_0.05-d_0-l_1000000,1000,1000,0.01,0.2,0.05,53.01269486700767,1.0,0.980842561936294,0.9950637059255496,0.001718
