,file,n,m,fpr,fnr,mer,time,is_ptree,ad_score,dl_score,fraction_diffs
0,fp_003/simNo_1-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.1-na_0.05-d_0-l_1000000,300,300,0.03,0.1,0.05,4.081389940998633,1.0,1.0,1.0,0.018666666666666668
1,fp_003/simNo_1-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,4.064619666998624,1.0,1.0,1.0,0.017366666666666666
2,fp_003/simNo_1-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.03,0.05,0.05,4.213407934003044,1.0,1.0,1.0,0.020244444444444443
3,fp_003/simNo_2-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.1-na_0.05-d_0-l_1000000,300,300,0.03,0.1,0.05,4.1706181629997445,1.0,1.0,1.0,0.010888888888888889
4,fp_003/simNo_2-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,4.123392705005244,1.0,1.0,1.0,0.0024555555555555554
5,fp_003/simNo_2-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.03,0.05,0.05,3.9872022199997446,1.0,1.0,1.0,0.002577777777777778
6,fp_003/simNo_3-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.1-na_0.05-d_0-l_1000000,300,300,0.03,0.1,0.05,4.051613103991258,1.0,1.0,1.0,0.002188888888888889
7,fp_003/simNo_3-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,4.285006150996196,1.0,1.0,1.0,0.007055555555555555
8,fp_003/simNo_3-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.03,0.05,0.05,4.1914830900059314,1.0,1.0,0.9667194928684628,0.0178
9,fp_003/simNo_4-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.1-na_0.05-d_0-l_1000000,300,300,0.03,0.1,0.05,3.8911560810083756,1.0,1.0,1.0,0.0023
10,fp_003/simNo_4-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,3.832241416996112,1.0,0.9963544303797468,1.0,0.0027
11,fp_003/simNo_4-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.03,0.05,0.05,3.9540550310048275,1.0,1.0,1.0,0.0021
12,fp_003/simNo_5-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.1-na_0.05-d_0-l_1000000,300,300,0.03,0.1,0.05,3.975697304995265,1.0,1.0,1.0,0.009588888888888888
13,fp_003/simNo_5-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,3.8177802870050073,1.0,1.0,1.0,0.0066
14,fp_003/simNo_5-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.03,0.05,0.05,3.9621381600009045,1.0,1.0,1.0,0.005644444444444444
15,fp_003/simNo_6-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.1-na_0.05-d_0-l_1000000,300,300,0.03,0.1,0.05,3.9962678529991535,1.0,0.999569188350853,1.0,0.016522222222222223
16,fp_003/simNo_6-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,4.056560245997389,1.0,1.0,1.0,0.005988888888888889
